sysname	chr	type	start	stop	orientation	genename	RNAseq_Brar_00_EXP	RNAseq_Brar_01_preMeiosis	RNAseq_Brar_02_DNArep	RNAseq_Brar_03_LepZyg	RNAseq_Brar_04_PachDip	RNAseq_Brar_05_Met1	RNAseq_Brar_06_Ana1	RNAseq_Brar_07_Met2	xRNAseq_Brar_08_Ana2	RNAseq_Brar_09_SporeEarly	RNAseq_Brar_10_SporeLate
YLR269C	12	gene	680866	681216	-	Dubious_ORF	0.5	0	0	0	0.3	0.7	0	0	0	0	0.7
YLR269C_mRNA	12	mRNA	680866	681216	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	681186	682238	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR270W	12	gene	681186	682238	+	DCS1	21.9	125	133.7	100.8	103.1	65.7	37.5	34.3	19.8	87.5	133
YLR270W_mRNA	12	mRNA	681186	682238	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	682737	683561	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR271W	12	gene	682737	683561	+	Dubious_ORF	24.7	87.3	71.2	109	114.3	88.3	100	242.5	158.7	104.5	132.1
YLR271W_mRNA	12	mRNA	682737	683561	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	683672	687202	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR272C	12	gene	683672	687202	-	YCS4	15.9	7.8	19.4	16.7	15.1	16.2	9.3	8.7	9.4	9.6	18
YLR272C_mRNA	12	mRNA	683672	687202	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	noncoding_exon	687859	687932	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tV%28AAC%29L	12	tRNA_gene	687859	687932	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLRCdelta16	12	long_terminal_repeat	688119	688368	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLRWdelta17	12	long_terminal_repeat	688369	688664	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	689083	691029	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR273C	12	gene	689083	691029	-	PIG1	3.7	26	176.8	157.7	187	121.7	98.7	109.3	78.3	42	59.6
YLR273C_mRNA	12	mRNA	689083	691029	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	691555	693882	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR274W	12	gene	691555	693882	+	MCM5	55.2	104.8	169.5	173.1	144.7	144.3	126.2	111.9	64.8	39.8	72
YLR274W_mRNA	12	mRNA	691555	693882	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	694378	694382	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR275W	12	gene	694378	694800	+	SMD2	132.3	181.4	171.5	181	160	105.6	64.2	123.7	126.5	164.9	231.7
YLR275W_mRNA	12	mRNA	694378	694800	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	694383	694472	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	694473	694800	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	695046	696830	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR276C	12	gene	695046	696830	-	DBP9	223.9	141.5	94	119.5	76.4	50.5	25.7	26.1	18.6	36.6	166.3
YLR276C_mRNA	12	mRNA	695046	696830	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	697156	699495	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR277C	12	gene	697156	699495	-	YSH1	37.7	16.6	21.2	21.3	16.6	12.4	9.4	5.8	2.6	2.9	20.2
YLR277C_mRNA	12	mRNA	697156	699495	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	699999	704024	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR278C	12	gene	699999	704024	-	Dubious_ORF	21.5	23.4	33.8	28.4	32.7	36.5	22.4	17.2	18.7	19.4	47.7
YLR278C_mRNA	12	mRNA	699999	704024	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	704309	704698	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR279W	12	gene	704309	704698	+	Dubious_ORF	0.4	0.2	1.2	0.8	0.6	0.7	0	0.2	0.4	2.5	0.7
YLR279W_mRNA	12	mRNA	704309	704698	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	704483	704833	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR280C	12	gene	704483	704833	-	Dubious_ORF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR280C_mRNA	12	mRNA	704483	704833	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	704493	704960	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR281C	12	gene	704493	704960	-	Dubious_ORF	10	27.4	58.4	68.3	42.4	38.8	20.3	7.5	2.3	5.6	3
YLR281C_mRNA	12	mRNA	704493	704960	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	705071	705412	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR282C	12	gene	705071	705412	-	Dubious_ORF	1	0.2	0.5	0.9	0.3	0	0	0	0	0.7	0
YLR282C_mRNA	12	mRNA	705071	705412	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	705186	706130	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR283W	12	gene	705186	706130	+	Dubious_ORF	35.4	36.4	67.2	84.3	67	46.3	25.9	30.8	25.6	21.9	55.6
YLR283W_mRNA	12	mRNA	705186	706130	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	706198	707040	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR284C	12	gene	706198	707040	-	ECI1	27.8	324.3	392.3	337.5	229.9	82.4	43.3	69.9	39.3	38.7	175.1
YLR284C_mRNA	12	mRNA	706198	707040	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	707360	708145	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR285W	12	gene	707360	708145	+	NNT1	144.8	129.3	154.5	152.2	189	211	306.2	391.4	390.5	138.5	207.1
YLR285W_mRNA	12	mRNA	707360	708145	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	708168	708338	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR285C-A	12	gene	708168	708338	-	Dubious_ORF	65.2	15.9	47.7	14.7	8.9	9.2	2.5	3.6	7.8	25.3	51.1
YLR285C-A_mRNA	12	mRNA	708168	708338	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	708448	710136	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR286C	12	gene	708448	710136	-	CTS1	118.5	34.7	47.5	26.5	15.3	16.3	7	8.8	10.4	41.2	55.2
YLR286C_mRNA	12	mRNA	708448	710136	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	708562	708696	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR286W-A	12	gene	708562	708696	+	Dubious_ORF	5.7	10.7	17.8	17.5	8.9	5.9	16.1	7.8	4.4	5.4	6.8
YLR286W-A_mRNA	12	mRNA	708562	708696	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	710991	712058	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR287C	12	gene	710991	712058	-	Dubious_ORF	141.2	63.6	75.7	90.3	51.9	25.1	16.1	14.3	5.5	10.5	91.9
YLR287C_mRNA	12	mRNA	710991	712058	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	712537	712725	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR287C-A	12	gene	712537	713158	-	RPS30A	7260.3	2139.3	1887.6	2105.8	1150.4	871	813.6	413.6	357.2	710.1	1468.8
YLR287C-A_mRNA	12	mRNA	712537	713158	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	712726	713155	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	713156	713158	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	713480	714904	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR288C	12	gene	713480	714904	-	MEC3	51.6	92.8	141.3	178.1	152.9	88.3	50.3	37.6	17.1	19.9	52.9
YLR288C_mRNA	12	mRNA	713480	714904	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	715089	717026	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR289W	12	gene	715089	717026	+	GUF1	16.6	13.9	14.4	25.4	18.7	15.7	10	9.3	6.8	10.1	13.4
YLR289W_mRNA	12	mRNA	715089	717026	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	717145	717978	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR290C	12	gene	717145	717978	-	COQ11	96.4	199.9	358.4	316.4	283.7	195	301.4	337.3	301	209	178.5
YLR290C_mRNA	12	mRNA	717145	717978	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	718317	719462	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR291C	12	gene	718317	719462	-	GCD7	98.9	78.8	55.1	58.5	45.7	41.1	18	21.3	18.4	50.7	83.2
YLR291C_mRNA	12	mRNA	718317	719462	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	719789	720370	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR292C	12	gene	719789	720370	-	SEC72	246.7	248.6	396.5	337.4	374.9	370.2	606.8	417.8	294.8	107.3	182.6
YLR292C_mRNA	12	mRNA	719789	720370	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	720771	721430	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR293C	12	gene	720771	721430	-	GSP1	502.8	219.9	140.4	151.6	106.2	112.5	74.3	35.9	21.7	36.8	184.6
YLR293C_mRNA	12	mRNA	720771	721430	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS1221	12	ARS	720784	721418	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	721701	722030	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR294C	12	gene	721701	722030	-	Dubious_ORF	329.2	416.1	699.1	412.8	578.3	548.9	387	278.8	361.6	207.3	380.9
YLR294C_mRNA	12	mRNA	721701	722030	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	721999	722373	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR295C	12	gene	721999	722373	-	ATP14	298.1	420.2	381.3	403.8	508.4	534.4	324.9	262.2	322.7	162.1	214.1
YLR295C_mRNA	12	mRNA	721999	722373	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	722978	723304	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR296W	12	gene	722978	723304	+	Dubious_ORF	1.8	1.7	10.9	16	15.8	7.3	9.4	5.7	1.8	2.2	2.8
YLR296W_mRNA	12	mRNA	722978	723304	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	724044	724433	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR297W	12	gene	724044	724433	+	Dubious_ORF	25.3	90.2	116.4	156.1	130.4	111.8	66.3	35.1	18.2	12.2	180.3
YLR297W_mRNA	12	mRNA	724044	724433	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	724721	725416	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR298C	12	gene	724721	725416	-	YHC1	73.5	137.5	139.3	142.9	99.7	65.8	52.5	28.9	15.9	19.9	179.1
YLR298C_mRNA	12	mRNA	724721	725416	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	726069	728051	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR299W	12	gene	726069	728051	+	ECM38	7.9	135.6	93	102.9	123.7	208	224.4	175.9	122.2	54.2	104.5
YLR299W_mRNA	12	mRNA	726069	728051	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	727911	728003	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR299C-A	12	gene	727911	728003	-	Dubious_ORF	0	3.5	0	0	0	0	0	0	0	0	0
YLR299C-A_mRNA	12	mRNA	727911	728003	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	728955	730301	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR300W	12	gene	728955	730301	+	EXG1	288	427.6	197.4	176.8	98.2	121.4	86.4	89.4	79.1	93.8	138.7
YLR300W_mRNA	12	mRNA	728955	730301	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	730825	731559	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR301W	12	gene	730825	731559	+	HRI1	281.7	93.6	175.6	195.5	148.9	127.5	105.3	119.4	150.2	138.7	63.1
YLR301W_mRNA	12	mRNA	730825	731559	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLRCdelta18	12	long_terminal_repeat	731668	732000	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	noncoding_exon	732090	732127	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tL%28UAG%29L2	12	tRNA_gene	732090	732190	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	732128	732146	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	noncoding_exon	732147	732190	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	732191	732553	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR302C	12	gene	732191	732553	-	Dubious_ORF	0.9	0.4	0.4	0	0.3	1.4	1.2	0	0	0	0.4
YLR302C_mRNA	12	mRNA	732191	732553	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	732542	733876	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR303W	12	gene	732542	733876	+	MET17	50.5	426.9	138.5	84	71.5	107.9	85.5	48.7	96.5	132.8	636.9
YLR303W_mRNA	12	mRNA	732542	733876	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLRCdelta19	12	long_terminal_repeat	734501	734671	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	noncoding_exon	734802	734875	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tI%28AAU%29L1	12	tRNA_gene	734802	734875	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	735212	737548	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR304C	12	gene	735212	737548	-	ACO1	179.4	617	618.2	541	545	720.1	506.7	403.4	318.8	278.1	265.4
YLR304C_mRNA	12	mRNA	735212	737548	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	738161	743863	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR305C	12	gene	738161	743863	-	STT4	22.1	12.4	24.2	24.9	29.4	33.9	25	16.9	14.6	12.2	17.3
YLR305C_mRNA	12	mRNA	738161	743863	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	744151	744153	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR306W	12	gene	744151	744851	+	UBC12	53.7	35.6	99.9	92.5	74.8	18.5	16.8	17.5	10.9	21.6	15.6
YLR306W_mRNA	12	mRNA	744151	744851	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	744154	744287	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	744288	744851	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS1223	12	ARS	744943	745179	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS1223_ARS_consensus_sequence	12	ARS_consensus_sequence	745100	745116	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	745620	746525	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR307W	12	gene	745620	746525	+	CDA1	1.8	10.5	20.1	206	999	986.9	2991.2	3393.6	3234.5	1505.7	721.7
YLR307W_mRNA	12	mRNA	745620	746525	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	746848	747111	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR307C-A	12	gene	746848	747111	-	Dubious_ORF	14.9	8728	10704.7	10476.9	7857.4	14041.3	12173	9360.2	9338.7	8945.3	14256.4
YLR307C-A_mRNA	12	mRNA	746848	747111	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	747937	748875	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR308W	12	gene	747937	748875	+	CDA2	1.5	12.9	24.8	359.8	1994.1	3712.3	8670	6472.6	6548.6	2896.5	2045.2
YLR308W_mRNA	12	mRNA	747937	748875	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	749034	751769	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR309C	12	gene	749034	751769	-	IMH1	46.6	77.8	61.1	74	66.8	55.8	34	21.8	10.4	10.5	175.1
YLR309C_mRNA	12	mRNA	749034	751769	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	752224	756993	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	region	752224	756993	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR310C	12	gene	752224	756993	-	CDC25	22.5	43.9	45.7	57.6	53.9	56.5	44.1	26.6	18.8	20.7	54.2
YLR310C_mRNA	12	mRNA	752224	756993	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	757265	757612	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR311C	12	gene	757265	757612	-	Dubious_ORF	2	403.7	624.2	370.5	735.5	982	993	634.5	564.5	288.6	682.7
YLR311C_mRNA	12	mRNA	757265	757612	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	757637	758833	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR312C	12	gene	757637	758833	-	ATG39	1.3	569.7	357.9	495.5	552.9	695.5	1045	681	472.6	219.3	524
YLR312C_mRNA	12	mRNA	757637	758833	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	759480	760241	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR312W-A	12	gene	759480	760241	+	MRPL15	261	137.6	130.9	133.3	89.1	55.3	55.3	28.7	24.2	33.8	79.7
YLR312W-A_mRNA	12	mRNA	759480	760241	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	760750	762342	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR313C	12	gene	760750	762342	-	SPH1	28.4	19.4	80.1	55.4	43.4	36	92.5	62.8	61.5	55.2	38.6
YLR313C_mRNA	12	mRNA	760750	762342	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	762575	764137	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR314C	12	gene	762575	764137	-	CDC3	122.7	103.1	134.8	289	601.5	1073.3	2350.7	2943.6	2762.3	2426	748.9
YLR314C_mRNA	12	mRNA	762575	764137	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	764808	765269	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR315W	12	gene	764808	765269	+	NKP2	10.4	14.8	33	28	43.1	29.4	14	11.7	9.3	3.1	12.6
YLR315W_mRNA	12	mRNA	764808	765269	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	765266	766073	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR316C	12	gene	765266	766358	-	TAD3	66.7	27.2	42.2	47.7	40.3	34	14.9	18.1	18.8	12.2	25.5
YLR316C_mRNA	12	mRNA	765266	766358	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	765655	766089	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR317W	12	gene	765655	766089	+	Dubious_ORF	17.1	16.8	51.1	47.6	76.6	47.4	40.6	18.8	12.9	10.4	33.9
YLR317W_mRNA	12	mRNA	765655	766089	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	766074	766129	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	766130	766181	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	766182	766249	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	766250	766358	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	766542	769196	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR318W	12	gene	766542	769196	+	EST2	24.6	12	58.5	65.9	49.5	33.7	22.7	32	15.9	12	73.6
YLR318W_mRNA	12	mRNA	766542	769196	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	769318	771684	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR319C	12	gene	769318	771684	-	BUD6	20.3	16.6	26	31.5	27.8	24.7	14.1	9.9	6.6	14	15.4
YLR319C_mRNA	12	mRNA	769318	771684	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	771940	776304	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR320W	12	gene	771940	776304	+	MMS22	10.5	13.8	16.7	14.5	14.6	14.9	7.6	6.4	5.3	6.3	20.8
YLR320W_mRNA	12	mRNA	771940	776304	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	776584	777864	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR321C	12	gene	776584	777864	-	SFH1	40.7	26.7	29.5	25.1	26.9	23.1	12.7	18.1	13.3	14.9	74.8
YLR321C_mRNA	12	mRNA	776584	777864	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	777628	777942	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR322W	12	gene	777628	777942	+	VPS65	0.6	1.5	2	2	0.3	0	0	0	0	0	0.8
YLR322W_mRNA	12	mRNA	777628	777942	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	778173	778952	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR323C	12	gene	778173	778952	-	CWC24	37.4	93.4	33.9	45	36.5	29.4	23.1	42.6	36	18	107.5
YLR323C_mRNA	12	mRNA	778173	778952	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	779215	780786	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR324W	12	gene	779215	780786	+	PEX30	10.5	49.1	36.1	61.4	73.2	94.6	115	171.4	126.7	93.5	69.2
YLR324W_mRNA	12	mRNA	779215	780786	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	781143	781379	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR325C	12	gene	781143	781379	-	RPL38	12119.3	2610.8	1793.1	2196.1	1129.5	918.1	1501.3	632.5	607.8	958.3	1661.8
YLR325C_mRNA	12	mRNA	781143	781379	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	782174	782896	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR326W	12	gene	782174	782896	+	Dubious_ORF	42.7	53.2	100.1	97.1	58.5	35.7	27.9	20.6	26.8	35.9	43.4
YLR326W_mRNA	12	mRNA	782174	782896	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	783127	783387	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR327C	12	gene	783127	783387	-	TMA10	5.3	5836.6	1444.6	2744.5	2158.9	2965.3	3379.7	1868.6	1597.5	1309.7	1929.1
YLR327C_mRNA	12	mRNA	783127	783387	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	noncoding_exon	784354	784389	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tX%28XXX%29L	12	tRNA_gene	784354	784453	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	784390	784409	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	noncoding_exon	784410	784453	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	784913	786118	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR328W	12	gene	784913	786118	+	NMA1	51.6	47.9	33.4	29.2	22.6	28.5	18.9	13.9	15.4	17	31.2
YLR328W_mRNA	12	mRNA	784913	786118	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	786442	786615	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR329W	12	gene	786442	787333	+	REC102	2.8	8.6	149	175.7	253.4	76.5	21.5	36.6	11.9	18.5	84.7
YLR329W_mRNA	12	mRNA	786442	787333	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	intron	786616	786712	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	786713	787333	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	787664	789679	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR330W	12	gene	787664	789679	+	CHS5	50.6	109.5	48.2	60.9	61.2	58	42.6	25.4	21.6	21.6	89.4
YLR330W_mRNA	12	mRNA	787664	789679	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	790669	791046	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR331C	12	gene	790669	791046	-	JIP3	0.1	0.2	0	1.2	4.9	10.4	5.7	6.2	5.9	6.3	2.4
YLR331C_mRNA	12	mRNA	790669	791046	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	12	CDS	790676	791806	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YLR332W	12	gene	790676	791806	+	MID2	56.9	150.5	111.2	151.9	210.8	239.2	89.2	44.1	26.8	25.9	74.6
